user,comment,like
bincang_sejarah,Meanwhile astronot Soviet Sergei Krikalev terjebak di luar angkasa selama 803 hari 9 jam 39 menit Karena dia mengorbit di luar angkasa saat Uni Soviet collapse. Gak ada Yang tanggung jawab memulangkan dia 😢,82
jerialfaringga,Yg main COD pasti tau siapa itu kamarov,23
derrafnd_,terjatuh dari luar angkasa 😭,17
zakiii19_,Vladimir Komarob siapanya Vladimir Putin?,4
akhmdmaulani._,Gw bacanya Vladimir Makarov 🤣,6
leevee_funboy,Crispy,5
fikry.yustiawan,Kebakar di atmosfer,9
mudzakkir41,Jatuhnya dimana,2
mraakbar_,kamarov bukannya yg cod itu kah,2
logan_t._walker,"Remember, No Russian",1
king_sukri,"Kok sepi, biasanya ada yang komen ""astronot ke luar bumi itu konsopirasi,hoax, karena ada dinding pelindung"" :v. Nunggu rame dah",2
reval_cool,crispy njirr,1
a.bens.nm,"Ini buyut dari kakek, kakek, kakeknya vladimir putin bukan?",0
nemesis_grizlly,vladimir kamarov : vladimir makarov,1
topfighting77,Vladimir Makarov ga pake parasut kah,0
masbungsu82,gosong,0
drgn.ice,Makarov :v,0
januarismannn,"Itu mah blm nyampe tanah udh meninggal,,🤪",0
reyhandn_6,Maghrib woy,0
ashermayer,Mr. Bean?,0
wydputra,He stopped thinking,0
rahmat.amn,Hmm sekebal apa Saitama loncat dari bulan bahkan jubahnya aja ge rusak hmm,0
nur_rizal_01,Kyak nama di game ya,0
supliner33,Ngeri🔥,0
ardiansyahjw_,@yudha.adi komarov character di call of duty,0
