user,comment,like
vr.man_mln,Klo di dengerin suara mesin boeing lebih kenceng iya ga sih?,4
raditya_ferdi17,Airbus itu bus udara?,10
bangdock47,Perasaan Emirates banyak airbus nya,7
13pwe13,Boing 737 sering mengalami musibah😓😓,13
bayhaqi_selian,penumpang indigo sama emirates beda ya apa?,2
adiva_arsy,Bukannya emirate adalah yang paling banyak beli airbus ya?,3
shevchenko999999,Pesawat yg aman adalah pesawat televisi... Resiko paling banter mbledug dan berasap... 😂,4
sr_90000,airbus jarang ada problm,5
new_angelsetdemons,"Untuk dapat dikatakan salah satu lebih bagus drpd yg lainnya maka salah satu indikatornya adalah error risk..... kita masing2 tentu ingat boeing max 8 yg jatuh beberapa kali karena masalah mesin.....pesawat terbang ini mengangkut manusia, gak bisa disamain dengan mobil yg kalau salah produksi bisa di recall.... Sekelas boeing bisa bikin product garbage...coba kalau yg jadi produsen boeing bukan Amerika, udah habis kali tuh negara rata dengan tanah",8
dahatulah,"Perasaan slide ke 5 itu Emirates jenis Airbus, bukan Boeing. Kebalik",5
denisugiarto17,"Minta saran dong mending beli yang mana yah,duittnya dari kalian",2
mr.luqmanammar,"Yakin emirates dia cuma beli 777 300ER, 777 9X tok sama A380 gak ada yg lain.. san gak sebanyak 737 yg dipake garuda.",0
rahmatoktafiano,Tapi emirates make A380 sebagai konsumen terbanyak,0
ramadani.hdp_,Emirates bukannya Pelanggan terbanyak Airbus min,1
sabdaal_husssain,Slide terkahir pesawatnya bisa ngelihat hanto donk🥺,4
id_dannny,Enakan airbus,3
fredyfitt,Lg gk punya duit buat beli pesawat,3
ahmadkhakiim,@djatianto Airbus Kemudie memang kyk joystick toh mas?,0
lihalalih,"Aku doain smga kalian punya pesawat pribadi deh, aamiin",4
patrolibahasa,"*Customer/Pelanggan, bukan ""Kostumer"". Memangnya pembuat kostum???",3
josnged,Kenapa Airbus nggak diboikot? Padahal buatan perancis,0
s_111_ndu,"Airbus keknya cocok buat purna au jebolan jet tempur, sama² pakai joystik kemudinya..",1
hendrikurangsunda06,Slide terakhir kayaknya kebalik dah😂,1
irvanaryaa,"lahh bukannya emirates pelanggan terbanyak airbus, RIP BOEING",1
andyngarnger,Gw kepikiran kenapa pesawat ga pake parasut darurat yaa? Kalo amit amitnya jatoh tinggal buka parasutnya,1
lop_lop_i,Aghu gk kuat naik pesawat air bus ada sebabnya,0
mudzakkir41,Mau boing or airbus yg pnting bsa naik,0
mudzakkir41,Selain boing & Air bus apa ada yg lain?,0
arfanyusup,Matic apa manual tuh,0
gilbertsiagian95,Pesawat badan lebar malah jarang jatuh ya,0
helmirasyidan,Min perbanyak informasi tentang pesawat dong,0
dupawan_candra,Maskapai apa yg pake airbus?,0
ikbal5452,Roll royce?,0
ardhi_ringo,"Klo dr segi fisik beda nya apa y kawan, sekilas kek sama?",0
alfnzntra,Rencana mau beli yg mana pek? @rezarptma,0
chan.jony,Belum pernah naik pesawat min..,1
edo_arzando,"Aku apalah, penumpang NAM air aja",1
dana_joy63,Pesawat 747 gw tau dari game counter strike dulu anjirr ..,1
apri_idn,Aku Antonov hehe,1
derii.a.p,"Bisnis bikin maskapai penerbangan berapa duit yg modal awal ny,,,, 😂 harga pesawat sebiji ny aj bikin oleng",1
idhamsyah_17,"Untung gue setiap terbang pake F14 tomcat mulu. Klo bosen pake Sukhoi Su-35. Buat keluarga korban penumpang SJ182, semoga kalian tabah dan kuat hadapi cobaan ini. Al fatiha 🤲",1
a45966011,Boeing banyak penyakit,0
rikkimaulanayusup,Saya tim honda beat,0
bang_baron_08,Airbus🤗,0
tn.gustian,Gue tim ynk bnyak diskon,0
m.alfendy,PT. Dirgantara Indonesia 🔥,0
xanz_passionete,Team Stuka JU-87,0
billqisthi,airbus,0
_rastranugraha,Slide 5 terbalik bos,0
angga_puja_asianduu,stan Sukhoi🔥🔥🔥🔥,0
