user,comment,like
bro.dox,Perfeksionis masih susah dihilangkan,1
melindayuliyan,And that’s exhausting-in hati 💔😩,1
your_vitamin.55,"Bagaimana bisa memprioritaskan kebutuhan diri sendiri diatas org lain? Apalagi ortu yg banyak menuntut,, 😭",1
fany_nrfdllh,"Semuanya kecuali perfeksionis, mudah""an tahun ini bisa sembuh dari self-sabotage dan self-blaming.",1
aliffando_p,Perilaku negative thinking dan inscure..,1
rodhikaafriany,2 diantaranya masih belum bisa dikontrol :/,0
rfknnsa,👍👍,0
red.lily95,Semuanya ada dalam diri ini 😭,0
byhardkids,Maaf ya..,0
haisyanaff05,@miftahulsholicha pliss kurang kurangin,0
bliodonuts,@mayangpu @jihan.spt @sitisaadah442,1
hollateddy_,Pantesan aku suka ribut sm diri sendiri @afiyanlw,0
yorann.27,@afniirahma simak baik-baik ini ya. Love yourself ya 🙂,0
dindamaharani_19,@silmifirdaus sukanya gak percaya diri,0
alfrdz_ahmd,@nabilaa.nk,0
noorhalimahhh,@sidanoviaa,0
urepkunengalas,@faizah_saluka,0
tutikherbalis_nasa,@widana_sayursawi buang racun itu untuk dirimu sendiri ya😁,1
zahrah_sy,Dan semuanya ada di aku 😭,0
imaniar_iim,Obatnya gmn dong?,0
hellofaizzz,Zzzzzzzz,0
desliana55,"Dari 5 perilaku di atas ,3 ada di saya 🙄",0
_aiizz,Cara menanggulanginya gimana ya,0
binjai.area,I got 2 3 4. . Wish in this years. Empty,0
zevicr,Ada di aku semua 😭,0
sirrimghfr,Aku banget skrg😭😭,0
mcl_raok,Gw banget 😭😭😭,0
tito.ye.we.sitorus,"Pekerjaan saya people pleasing, gimana dong Min?",0
lathifahsaa,Punya semua,0
haiiihuda,"Ya Allah, semua yang disebutin ada di aku 😭",0
siska.dv,😢,0
hariobayu11,Ada semua dong di akuu 😭 aku harus gimana dong help 😭,0
muh.dimas_saputra,Adalah saya :'),0
priyantomohardjo,Bener nih,0
aldhiaa_fz,:(,0
kyoebloee,perilaku toxic ini semuanya ADA di dalam diriku,0
keshiasawitri,"*insert meme ""I'm in this picture and I don't like it"" 😂",0
aldianuy,@findingnemels,0
mutiararzk,Diriku maafkan diriku ya🙈,0
surya_khu30,Negatife self talk itu contoh nya seperti apa ya ?🤔🙄,0
karvelio_d_noid,"EMAK GW SERING NGOMONG KEGW "" ENAKKAN NYURUH GAK CAPEK , KALO SALAH GAK SESUAI YANG GW MAU TINGGAL DIBACOTIN , KALO BENAR YAA SURUH TERUS.. ITU TERMASUK TOXIC YANG MANA YA ? """,0
nike_prame86,Lh kok gw banget ☹️,0
deska_arianti,Semuanya ada di aku 😭 gimana ngilanginnya 😭😭😭,0
adonjansen,Intinya cuma malas dan cari alasan ini 😝,0
ribka_lisdi,@nancyyoliviaa,0
yg_avv,Semuanya aku lakuin tanpa Tau itu toxic 😭 pantes susah bgt bahagia,0
ajirolupat,Dan saya butuh seseorang yang bisa bantu keluar dari ini semua,0
astiind.ah,@salsabilaarh_ 🎉,0
herlianto_purwo,People plesing sama filantropi apa sama...?,0
elanofiana95,"People pleasing, perfeksionis 😭",0
