user,comment,like
djuandasugiyo,"Selagi sehat harus bkerja, berapapun saldo di rekening ga bs membeli nyawa",2
harrisaliong,"5M, gw lepas pekerjaan dan posisi . duitnya d olah bangun kontrakan , ngolah sawah pertanian , bisnis kuliner , bisnis gas , ambil 1 frnacise alfamart . 😆😆😆",13
ajengtrisa,50jt min wkwkwk soalnya gaji umr tp sering sisa wlopun 100rb 😌,1
arielzofa,pokoknya 20rb saya cukup buat 1 minggu,1
ninda332,Dikali 25 itu angka dr mna ya min?,4
oisputri_,1T,6
mia.taa,200 M terus duitnya separuh buat beli logam mulia lumayan lah investasi jangka panjang aamiin ya Allah❤️❤️❤️❤️❤️,5
nianirwanaa,"Uang ga sampe 1M pun klw ada saat ini cukup, bikin kost kostan, tiap bulan tinggal terima uang nya 😁😁",1
wahyupetrus,"Asumsi bunga deposito setahun 4%, maka ketemu bunga setahun. Dibagi 12 ketemu biaya bulanan yg kita butuhkan, cuma mgkin itu biaya sekarang (seperti saat anak2 saya masih kecil). Lha nanti kalau mereka sdh besar berarti biaya bulanan beda lagi. Sebagai titik aman dinaikkan berapa% min?",3
iqbaldao,"Setelah dihitung hasilnya 1,5 m dengan asumsi biaya hidup per bulan 5jt",2
estiwd,2M min,2
mutiarabc,6M ini kalo gaya hidupnya tetap dan tidak hedon lebih tinggi,2
davidtankayogi,"5m, masukin 3/5nya ke saham bluechip yg devidennya gede dan punya masa depan lebih sustain. Lalu hidup dari deviden tahunan... 👌🏼sisanya bisa masuk ke dana darurat dalam bentuk yg lebih aman",2
fery_setiawan571,@sejan168,2
azizah_nur12,1m.. Semoga saja 🤗,1
carminehellamine,"7,5M",1
ioentertain,1 triliun,1
sherraadisti,1 T 🙏,1
fischa_amila,"Gak tau, entahlah 😅",1
ibrahim_scale,3 miliar...,1
noritamayaindah,450M,1
dickywbw,"10-20M, masuk deposito",1
lucyana.hesty,"1,5T 🔥",1
diahendangperti,1 M udah punya rumah dan usaha,1
pandedesniasih,300juta 😂,1
opikramadhaan,120M dengan return pertahun 10% amin,1
vexogen,Unlimited,1
kaiarkasa,1 m geh cukup buatku yg gajinya dibawah Umr 🔥 semangat,1
ptr_8787,100 trilyun,1
angga_puja_asianduu,triliun triliun usd,1
_flyyhigher,1T,1
ro_tigan,Tuhan menciptakan kita bukan utk malas. Tapi org yg giat bekerja dan bijak dalam berfinansial,1
bvskin.id,1T,1
dinttralala,1 M. Buat ngelunasin KPR. Hidup pasti jadi tenang banget. Ga usah kerja ikut orang lagi 😂,1
shant_cattleya,22m aja aamiin 😂,1
renifornita,50 milliar di deposito😂😂,1
shin_geo_takuda,"Kan itu ga cuman makan doang , yah ada listrik ,bayar pajak bangunan , belum kalo org nya suka travelling. Yahh setidak2 nya 100m , setengah nya invest in, 50 nya di olah lagi *canda ya kak canda",1
esrahhendayani,3 milyar,1
jimmy_hendrick81,2.1 M min,1
raisramdhany,1T cukup,1
mujibakm,"1,5 M invest di saham yang yield 4-5%, deviden bisa buat biaya hidup. Saham di wariskan.. Bismillah yakin usaha sampai..💪💪",1
panangianappraisal,1Milya 50rb Rupiah cukup min 😎,1
auliaurrahman09,@mulyandriputra09,1
rarajvc,Invest yang bikin human gk perlu kerja-kerja banget brrti ya,1
fathanhan__,10 m,1
oliviaslvn,@nadiratsmr,1
mefianggraini,1m cukup.. saya bikin kost an..,1
kokoronatomo,1 milyar sy tdk perlu berkerja lg .... tiap hari cuma muter 10jt bukan lg cukup buat makan tapi buat jalan2 juga👍🏼,1
znveex,Setelah diitung2 7M sih,1
ozstor.oza,🤫kumpulin dulu lah,1
