user,comment,like
ncehrusdiana,Lain ti baheula atuh euy....geus rek sataun karek riweuh....😁,28
tantinovis,Harusnya dari awal atuh 😢😢😢,24
syiffa_hasen,"Krisis terbesar di Indonesia itu ya masalah kedisiplinan,terutama disiplin sosial.Efeknya kemana2,susah diatur,latah dan serba salah.",21
achmatimron27,"Dri dulu kemana aja nie ,,😁😁 saya juga batin apa gunanya face shield tp gk pakai makser katanya virus ini melalui udara masuk ke tubuh kita lucu lah artis² di tv 😁😁",15
nrlklisdaa,"Semangat mengedukasi trus dok, semoga kerja kerasmu menjadi berkah🙌",18
bagusindarta,Nek sinetron2 kae njur pie,9
dewaherypratama,Cari panggung nih dokter,10
fiona_mimikhael,Inshallah ga ada kata terlambat,11
andre_aryudhi,Wow gercepp,10
i.m_collapse,Kalau bisa di blur sekalian,10
dayax_kota,CIPENG Aset Nasional...kawal dan Amankan ❤️❤️❤️,9
iww3d,Semoga yang komentar nyinyir selalu diberikan rezeki dan nikmat sehat 🙏 semoga dirinya dan keluarganya selalu dijaga oleh Allah SWT dan dijauhkan dari segala penyakit 🙏🙏,6
rianflow,Hadehhhh ribet lagi,9
sukrii_sh,"""Tugas kami hanya bisa mengingatkan, sementara resiko ada di anda semua, berbuat dgn prokes menyelamatkan jutaan umat ,tapi jika tdk, semoga Tuhan bukakan surganya untuk anda"" seharusnya gitu 😂",6
fajar.v.pratama,masalahnya nanti yg nanggung bukan hanya dia sendiri dok @dr.tirta tp orang lain jg yg kena dampaknya,258
viptripjogja,"Intinya kasus bakal mencuat saat punya titik klimaks. Pdhl dr (titik) awal udh diingatkan @dr.tirta. Siklus itu jg berbanding seberapa ""peran"" media dlm mengangkat diskursus publik (public sphere). Jd yang bilg baru aja diangkat, dia tdk menyimak dr awal 😊🤙",12
nuraeni_nourr,"@dr.tirta, mau tanya... tetangga saya kedatangan sodaranya dari Medan. 6 jan kknya datang dari Medan buat cuci darah disini dan tgl 8 jan kk iparnya datang nyusul ke Jakarta. 2 hari kemudian, kk iparnya meninggal di Jkt dan positive covid. Koq bisa ya kena covid selama 2 hari trus meninggal? Di Medan beliau swab dan hasil negative. Atau hasil swab itu gak akurat kah?",0
diny_febrianty,@kpipusat tolong dong jangan hanya di tegur denda juga dong masih ada yg ngelanggar jangan tayang acaranya,7
ranggi_adyakso,"bukan hanya acara tv,podcast2 juga disinggung coba....",5
dayax_kota,Arris yg di ingetin ngegas Buang ke Laut ajja Dok,6
karla.pratiwi.98,"Selamat pagi, dr. Tirta ☕",4
rizqimadani13,"@dr.tirta dokter mau tanyak nie tentang vaksin,, orang yang setelah divaksin COVID19 apa harus atau perlu isolasi mandiri ???? Terimakasih...",1
looltvbiasaaja,Tegur atau bubarkan 🇮🇩,3
fdlbrn,drpda telat,1
kevinmarciano00,"Lu aja bikin podcast sama om ded GK pakek apa"" dok🤣",2
bayhaqi013,Dok.,0
dhee_ko,Aku mencium bau² terlambat... Tapi ya sudahlah...,2
rafli_gore,Nanti yg lulusan SMA gimana dokkk,2
febrianpanggabean,Knp bru skrng,3
solikha_sstr,Apalagi dengan model yang unik🤣🤣🤣🤣,3
cukztau,"Klo rakjel mah didenda dok, klo artis ditegur. Enaknye jd artis kwwkwkwkwk",4
fashiongood.co,Siappp,3
adipee_c,Pdhl udh dari kemaren² gitu. Knp negur nya baru sekarang. Kemaren lu kemana aja bambang😂,2
ghanigunadi,Baru rame setelah kontenya deddy corbuzier & dr tompi,1
ardians_24,efek dokter segala hal langsung direspon.😅 bersama dr tirta indonesia sejahtera🔥,2
rezaamohammed,Sebenernya sih ga ada kata telat ya buat menegur hanya di sayangkan saja kenapa di Indonesia sesuatu harus viral dulu baru bergerak gitu walaupun udh ada yg mengingatkan ini itu,2
rizqiefirdaus,Maju terus Dok...,2
damel.now,Pas acara pernikahan cuma 1 hari di panggil dan ini acara tv setiap hari aman ajah protokol nya yg ga sesuai.,2
bagasudokii,"KEMAREN KEMAREN KEMANA COK, HADEHHH",5
langsingdalamhitungaanhari,SAYA ADA CARA UNTUK CEPAT LANGSING TANPA HARUS DIET😍😍,0
officialdianp,Coba berani tegur pak menteri @mohmahfudmd sama @mastercorbuzier ga dok. Coba cek di IG nya,3
ipin_aripin_,Hmm,1
j.gusliana,👍👍👍,1
efimiftahfaridli,👍👍,1
beni4464,😂😂😂😂😂😂,1
mnridwannn,Bagoss gini dong🤙,2
gustiiayuwullandarii354,👍👍👍👍👍👍,1
aguzkurnwn,👍,1
sepupunya_jacksparrow,Ga habis thinking,1
annarachelia,Yahhhhhh makin gak ada hiburan dong di tv kalo gini caranya🥺🥺🥺,1
