user,comment,like
anggap2611_,Lah gua taunya malah Pepsodent ga ada kata STRONG nya 😂😂,6
ba.nyuu,Waw 30M wkwkw,4
fadhli_syarof,Boykot Formula 😎,8
amril_18,Jujur masih bingung sama masalah merk,4
catatansejarahid,"30 miliar mah, unilever B aja🗿",4
azisabdul176,Ciptaden Ketawa Melihat Kasus Ini.🙏,4
sastraap,Min apakah ini yang jadi faktor Saham Unilever anjlok tadi pagi? 😭 soalnya saham bluechip yang lain naik semua rata2,4
cupstagramm,"Maaf oot, kalau misalnya kayak clothingan"" lokal yg gambar nya gambar figur publik/artis tanpa kolaborasi dengan figur publik/artis tsb jatuh nya gimana? Apa sah"" saja? Soalnya banyak beredar kan baju dgn gambar misalnya mas trepisskot",1
gultomdidy,"Me masuk alfamart be like: nyari pasta gigi, yang paling murah, ukuran paling gede... Ambil n bayar!!! Selesai!!! *mau strong kek, nggak kek, yang penting murah 😁",3
jeffmartonomilitia,"Tapi putusan tersebut belom berkekuatan hukum tetap, karena unilever akan ajukan kasasi sebagaimana diberitakan. Dalam hal ini apakah kata 'STRONG' dapat diklasifikasikan sebagai kata yang bersifat generik? Kalau sepertinya iya, maka hal ini dapat memenuhi unsur Pasal 22 UU No. 20 Tahun 2016 tentang Merek dan Indikasi Geografis.",3
gunawan_gunaash,PEPSODENT KUAT..... pst ga digugat,0
utary_isty,"Harusnya UNVR jgn pake kata ""Strong"" coba pake kata ""sterek "" 😂",1
rosyid_mh,"Saya kok lebih kenal merek formula daripada strong nya ya, Bukannya strong hanya bagian dr merek pasta gigi formula",0
ancaoktaria,@irgiiii gimana boss,0
deckydekoy,@adrianhanafiyah unvr bakal turun kayanya nih,0
riaaryanti29,@massegafaa,0
snappcaatt,@stefanyfaa nangis cok,0
egi.yanesasmara,Kalau pakai STRONGER kena juga kah?,0
nassalafuddin09,Idih bun tolong jelaskan gak nyangkaa😂😂😂😂 @adindaanti @liapuspita99,0
sydaimaz,Njir 30 m itu ganti rugi materiil apa imateriil min? Berat bet,0
corriandarp,@rafiandraadinata,0
linnadhia,@kurniawatiarsjad @zul737 @dhikaperdana26 @retnowulan._ @rofahelsa @ernitham @arissuyitno hhhmmm,0
rismaariyantika,Pingin tau. Tapi males baca. Pingin paham Tapi males mahamin.,0
secretintlservices,"apakabar supreme newyork, sama supreme china? (don't judgement)",0
elddysn,Apakah hanya w yg pake close up 😭,1
m.aldo.pr,@lalicorne__,1
lingsir_weungi,Harus nya jangan strong pake kata OTONG kan bisa lebih kekinian malah...,5
yusepdz,Izin share min,0
oirhas,pa pengaruh,0
indahardht,Yaudah aku hold dulu saham mu unvr,0
vinoariant,Orang tua grup beneran punya orang singapura ya?,0
iam.thantan,Pepsodent anti loyo 😂,0
syahrulkhori,Yuk bisa sampai 6000 an yuk UNVR 😂,0
adito.o,Berbau Marketing 2 merk satu tujuan nih 😁,0
fapushn,Sahamnya koreksi nggak nih besok 😂,0
rizqiramdhan_,"Auto pada CL wkwk, wayahe serok",0
ipoet_88,"Ingat, jangan durhaka sama Orang Tua 🙏",0
iyanpct,Gara gara si strong doang 30m wkwk,0
syaiful.1927,lakuan juga Pepsodent drpd formula,0
bintangguci,Jangan melawan orang tua,0
faedahboy,"Udah biarin aja, fokus aja dulu sama 17M...",0
abidhafiez,Makanya jangan ngelawan Orang Tua,0
k.avilia,Pepsodent strong? Ada dimana,0
alisjdn.12,Kehati hatian industry emang sangat penting hyung,0
ardhygumi,Strong Man buat pria perkasa,0
junarts.id,Saa aeeee nih orang tua nyari duit... 😆😆,0
iam.thantan,Merk terkenal baru tau ada formula strong,0
zelvina_shakila_1812,😮,0
rikevebi10,"Udah di tinggal direksi, trus skrg kena kasus lagi, mau turun jd brp lagi ini sahamnya! 🤦🏻‍♀️",0
letskillyourcrush,Odol,0
