user,comment,like
dadoel21,"Teruntuk siapapun calon istriku nanti, FIX AKU TIDURNYA MAU DEKET TEMBOK",1
one3media.shop4,Bangkit Indonesia ❤,39
renditastura,"Pak president di Lombok Tengah Pupuk langka, Semoga ada solusi agar petani tidak menjerit dengan mahalnya harga Pupuk...",51
megf0ll0wers,Semoga covid 19 cepat berlalu pakk,0
imamfathuroji,Pupuk mahal.. Kartu tani tdk bs di pake untuk petani penggarap... Karna tdk ada hak kepemilikan atas tanah... Jd petani penggarap tdk bs mengakses pupuk subsidi.... 😇,44
markenott9,"Covid sudah terjadi lama, begitu juga bantuan pemerintah.👍🏽 Tapi dari segala bantuan, tidak ada yang mengangkat petani.💔 Bahkan sekarang pembelian pupuk dilewatkan kartu tani, yang terbilang ribet dan ruwet bagi petani ((orang kampung pada umumnya)). Bahkan sekarang jatah pupuk bersubsidi mau dikurangi dan harga eceran tertingginya dinaikan. 😿 Masihkan negara ini bisa mengayomi petani? Apakah istilah PEnyangga TAtanan NegerI hanya sebuah istilah yang tiada artinya????? #PetaniMaju maju yang seperti apa? #PetaniMakmur sungguh itu harapan",34
kejumozzarela,"Jadi sungkan mau promo,,,",21
andikakus,"Pak maaf nih ye cumananyak, kenapa saat seperti ini pandemic semua harga bahan pokok tetap mahal, kenapa gak turun??",27
n1kat3_madrid,Pak minta duit,19
smllknk,We love you İndonesia ❤️❤️,31
estyaningd,Lha gimana pak...petani mlah sering dirugikan kadang biaya produksi dan hasil panen Ndak seimbang...hasil panen lebih rendah dari biaya produksi...,29
smllknk,Greetings from Turkey 🇹🇷❤️❤️,22
smllknk,our prayers are with you❤️❤️❤️,22
subakti_pranata,Harga pupuk kok mahal kali pak,25
kharismaintanputri,Jadi gimana rasanya bertahan tapi selalu dikecewain ?😢,21
kharismaintanputri,Pak kapan nikah lagi,17
alpi.fahrul,"Pak jokowii yg terhormat,kalau bisa kendalikan pembangunan perumahan ditanah jawa.udh banyak sawah2 yg diborong dijadikan perumahan.smakin banyak lahan hijau yg berkurang",15
willy9756,Smangt Pak Jokowi❤️smoga Indonesia aman dan sejahtera Aamiin Aamiin Aamiin YA Allah 🤲 I love my country ❤️❤️❤️🙏,16
smllknk,❤️❤️❤️🇲🇨🇲🇨🇲🇨❤️❤️❤️,16
aflqybrap,Pak jokowi cinta indonesia❤️,17
arindap._,Pak sehat sehat terus ya❤️,13
predatorlapanganhijau,"Pak Ayo pak liga nya main,kita yg gantungkan hidupnya disepakbola,kasian nganggur pak,cari solusi bareng bareng agar semua terealisasi Amin",12
ariehartanto,"Produktifitas dalam negeri ditingkatkan, mohon impor juga harus dikontrol dengan baik Pak 🙏",7
lusiana.ptr98,Sehat selalu pak presiden😍😍🇮🇩🇮🇩,8
iamcholid,"Kebijakan konkrit ditunggu. Inilah wujud perjuangan struktural sebagaimana diharapkan Bung Karno dengan Marhaenismenya dulu. Ingat, Marhaen adalah petani itu sendiri.",8
fikrinyzar,Apakah micnya sama yg di review bang @sheggario ?,8
kharismaintanputri,Fb pak,9
asyhahappy,Yg suka kimchi dan aneka sambal yuk oreded kakak bantu larisin jualan aku spy bs terus melanjutkan sekolah SMP dan aku bs biayai mamah yg sdg sakit bantu larisin @jokowi pak pres,8
nikisukini,"Semoga pak jokowi diberi kesehatan, keselamatan,, ide""bagus.,",8
super_protein.asli1,"Punya ga sih lo temen yang kurus ngeselin dan doyan makan,wkwkwk",0
maulana_sputra,Semangat pak,8
sintasuryantoro,Pak...sy jatuh cinta sm salah satu rakyatmu.😍,6
safashafira_gujjar,❤️❤️❤️,6
vxdin._,Ya pak saya doang yg ga baca captionya,6
menirlakepop,"Gimana caranya pak Jokowi ,karena di kampung kami HUMBAHAS hanya yang punya taring di DPRD atau pemerintahan kabupaten yang mendapatkan ALSINTAN modern, yg gak punya taring hanya melongo dan gigit jari",7
suwarsi02,Semangat terus Bapak Presidenku 👍💪💪❤️❤️❤️,7
mood_booster.gw,Estetik banget pak😭😂,7
budi_kusumahh,"Pak Presiden @jokowi Mohon di tinjau kebijakan Pupuk non subsidi dan subsidi, coba di perbanyak dan di permudan ...atau lebih tepatnya mohon PUPUK di Murahkan",5
_rslaweagung,Pembangun mindset petani & bangun infrastruktur harus linear...bangun BLK kusus pertanian dan BUMN peralatan pertanian biar hrg terjangkau,5
katar_id,Semoga indonesia cepat pulih seperti sedia kala. Amin,5
jualplakatpiala,Pak maaf mau bertanya untuk yg punya kartu KKS kenapa beras nya tidak keluar nya.,5
rizkyade_s,Masker nya jangan lupa di pake pak,3
serlydwi._,👍,7
rizki.abdul.aziz,We love indonesia❤️,6
tinaduatiga,Sehat2 pak,6
azifahh.aini,Baca DM pak😭,1
qodriarrohman,Ngapain...??,4
nuky_ars,Pak saya Ingin ketemu Kamu.. presiden HeBat,4
story_persija28,#ayomainlagi,5
ana_retnowati,Makanya pupuk jangan langka pak🙏,5
