user,comment,like
evos.rexxy,gengbeng yujong,5
nurzulian_,Amjeng😅,1
santarehulinaprb,ga ngerti lg,2
nontonwibuonline,nanii,2
xsushiboy,Ganteng doang jemput cewek naik liu kang,2
abizarfirdaus_,Mantap cees,1
thaufanalif,Waduh salfok sama antinya babang zoro wkwkwk,0
fikrillham,Ganteng doang kaga gay,2
yazid_assagaf,Songongnya dapet 🤭😂😂,1
rapplunnn,"Aku sukaa inii, songongnya dapet😂",1
abisatya.27,👏👏,1
destian.rama,Wahaha,1
billieonig,Mami shake it eyy 💦,1
andamasrofi_07,Iri.. bilang bos,1
rizkiadriantoinfantara,Aguniiiiieeee in beach 👍👍,1
anugerah_aji,SANTORIYU...@uusbiasaaja,1
ldwsdny,🤭,1
kharismaintanputri,Jadi gimana rasanya bertahan tapi selalu dikecewain ?😢,2
hdi_beeproducts,DEPAN GANG OI,1
supergrowup.reall,Punya ga sih lo temen yang Pendek banget kek Kurcaci ngeselin lagi wkwk Tag orang nya,1
nazwaann,Uus killmonger,0
gvs_d,Tak lucu tak mengedukasi lagi salam ARAX PANAS🇯🇵😂😂,0
bamsut.id,Bisa bisanya lu bang,0
opik_tao,😮,0
penyembahindomie21,Uus x Danang,0
mattz___,Ada yang baru nih,0
fikri_sie_fikrek,bisa gitu ya,0
pujifg_,Dudee🔥🔥🔥,1
brimaokto_,jhaaaaa🤣,0
audy_lianganggang,Bgst 😂,0
selamatpinta88,Anjir,0
_agunghdyt.1,Ckptw.ckpsbr.ckpphm.🗿,1
hi__guesswho,one vs squad,0
_muhammadz,"Pirangin us,biar kek marco tapi gimbal",0
daismhs,Skin yuzhong elite,0
shoelaundrycelinic,🔥🔥🔥,0
agus_fouchi,😂😂,0
taufiqpramubentar,Ganteng doang tapi gak bernyayi,0
seishady,Sianjir 🤣🤣🤣,0
kanz17_,Slayyyyyy,0
adetommy71,Jemput Cwk dipanggang,0
princejampang,AAHAHAAHAHAHAAHHAAHAHHAAHHA,0
penggunaerrors,Ewe,0
mashanifff,Gankbenk😂,0
abayyboy,Bukan brother sister?,0
luckysnpr,Kepala militan di beach nih,0
rando_kg,Lee yu-zhong,0
mariefadilah,memang lain dari yang lain 😂,0
ardinatadimar,Rusak ❤️,0
_dialektikakita_,Ganteng doang jembut cewek dipanggang,0
