user,comment,like
novintt,Verified,0
fadhlan.id,dok vaksin udah pasti aman?,286
semarangflorist_manggar,Kok vaksin korona cepet ditemukan dok ? Kalo HIV Aids puluhan tahun vaksinnya ga ada,169
bimawibisono,Dokter mau divaksin? Dan juga alasannya apa?,224
eitarononaka,Verified,0
riyandhln,"Yeh dulu lu bikin live ig ngomongin vaksin sinovac katalu bisnis, konspirasi, yg diomongin Mardigu bener,fe 101 bener. Skrg beda lagi omongan.wkwkwkwkw",1
baiim_abdullah,google ?? apa semua harus nurut sama google ?? koe mbyen nolak vaksin saiku promo vaksin..ancokk kon,515
ryankeki_bstrd,Vaksin adalah bisnis,390
theokusetya,"Thn 2012 gw SMA di amerika, salah satu requirement utk daftar sekolah itu harus vaksin chickenpox. 2 suntikan seinget gw krn masih ada 2 vaksin flu sma 2 vaksin yg gw udh lupa, lengan kanan dapet 4 suntikan & kiri 2 suntikan. Eh beberapa hari kemudian gw malah kena chickenpox, kulit badan gw bnyak bintik” merah. Sembuh si setelah beberapa hari tpi kegilaan seperti itu ga akan gw ulang lg, apalagi di masa sekarang ini",393
galangkhrsma,Tpi Knp maksa?🤭,449
dodechannel,Memang bisnis pdhal corona biasa aja,313
_aleandre10,Kakekku gaada divaksin sampe skrg masih sehat dan 8taun lagi bisa sampe satu abad umurnya ..,276
mr.getzke,Yg saya tahu vaksin itu dulu saya jalani krn di paksa..krn pas waktu SD di suntik di lengan adl hal terberat dlm hidupku...horror dan menegangkan..mlebu kelas di di dtgkan petugas kudu baris satu2 di coblos.. nagis massal pokoknya..sampai skrg saya trauma dg suntik ...tolong dok usulkan vaksin itu bisa di ujudkan permen atau semacam gulali gt..masa kalah sama narkoba yg kemasannya bisa macem2 ..kenapa harus suntik sih ..(itu alesan saya menolak vaksin ) SUNTIKIRASI alesan utamanya,176
andikaptm03,"Kenapa banyak yg percaya konspirasi, karena banyak petinggi yg gabisa di percaya dok, jadinya bingung percaya siapa",175
luxxyfer,Vaksin ? Bismillah Armor Titan🥰,124
ilham_wildhana,Still believe in Siti Fadilah,289
masterutama,Seng fucksin yo fucksin seng ora yo ora ngono ae kok ribet,114
kadeksuarjana79,"Yakin nih? Nanti klau udh d vaksin ,tiba"" nanti blng lagi virus bermutasi dan gk cukup di vaksin doang🤣",97
rioc_10,"Dulu ente bilang konspirasi. Setuju dengan fe101, teluur, mardigu. Eh.. sekarang. Liat kolom komentar banyak yg gak percaya soal fucksin. Yg berbicara soal ini konspirasi bukan 1 2 org aja, tapi banyak. Kalau setiap org bebas mau di vaksin atau kaga, ngapain juga ada denda. Kita lihat aja nanti tir apa yang akan terjadi. Bener semua gak yg dibilang fe101. Sekarang masih proses fucksin. Nanti orang yg gak mau fucksin, bakal dipersulit. Ntah dengan buat peraturan atau denda. Yg akhirnya org suka gak suka, mau gak mau di fucksin semua. Microchip? Ya gak skrg lah. Belum saatnya. Tapi di luar udah mulai tuh propaganda soal itu. 😂",189
andreilhamakbar,Apa jaminan aman kalo udah disuntik vaksin ? Kebal kah akan virus corona ?,64
richbrown_,komposisi vaksin bisa di publish dok? pepsodent atau sabun aja ada komposisi bahan pembuatnya.. masa vaksin kaga ada..? sejak kapan ga mau d vaksin dapat d korelasikan dengan merasa jagoan? 🤣🤣,340
mfajtioo,"Sekiranya ga mau divaksin cukup disimpan sendiri, ga perlu bikin narasi negative trus yg bkin orang awam takut, yang ga mau silahkan, yang mau silahkan. ga usah ngerasa edgy karna melawan arus 😂",243
fujixhamsyah,"angel wong indonesia di jak sehat bareng, tapi lek loroh sambat biaya berobat larang. iki vaksin wes gratis malah akeh sing nolak. guwoblok",40
bima_ryd,"Gausah jauh2, siapa pendana terbesar vaksin yg ada di dunia? Kok lambemu selalu mencla mencle",51
ardi_setyawan1234,Jgn ngarep ketinggihan dok masalah edukasi vaksin. Hal gak masuk akal kayak microcip aja banyak yang percaya🤣🤣 efek kebanyakan nonton terminator🤣,32
zulkifli_2209,Banyak yang takut divaksin padahal dari kecil kita sudah divaksin..,23
christy0sborne,Google dulu? Berarti google lebih pinter dari dokter atau ilmuwan dong? di google banyak juga info kalau vaksin itu berbahaya. Gimana??,52
tatayasmanta,Virus yg gak terlalu bahaya di paksain jd bahaya ya gini jdnya FUCKSIN 😂 @dr.tirta,35
hey.adithere,COBA CARI DIGUGEL SEJARAH IBU SITI FADILAH MENOLAK VAKSIN UNTUK INDONESIA @dr.tirta,78
hendrytoha,Bor herbal yg ditemukan Ustadz @adihidayatofficial berdasarkan turunan Hadits Nabi SAW ga antum follow up minimal diskusi..? Antum relawan apa pegawai pemerintah..?,54
ikhsan_als,Vaksinya Bikin Sendiri Dong aahh .. Kan Kalean2 pada Berilmu di bidang nya Toh ??,33
truth_seeker_society,Jadi untuk tanggung jawab dampak negatif soal vaksin dalam jangka panjang bagaimana? @dr.tirta,49
a.nisadisti,"Pengen tau orang yang bilang “covid ga bahaya, yg bahaya beritanya” , tes alat rapid pake makanan, gamau vaksin, nanti kalo kena covid di rawat di mana ya?",13
mas_bendoll,Kembalilah ke gustimu ... Pasti kalian sehat selalu,31
ianpluim,"Kalo vaksin gagal, apakah ada tanggung jawab materil dan inmateril nya dok?",32
kevinmarciano00,Godbye 2020 masa corona dan welcome 2021 di dunia vaksin😂,38
christy0sborne,"Capek gak sih.. promosi v*ksin. Tapi mayoritas komennya gak percaya sama v*ksinnya? Makanya kalau jadi manusia itu yang konsisten aja lah... Kemarin ngomong A, skrg ngomong B. Bye.",31
randiridwan18,"Vaksin memank bisnis, tapi khasiatnya bukan bisnis dong, apalagi kalo sudh ada bukti efektifitasnya",34
mrhenshin,Izin screenshoot buat dipajang story wa dok 🙏,19
louisvandrio,Dok dksik duit brp ente? Bukannya lu sempet bilang vaksin itu bisnis ya wkwkw ente kenapa sih tiba tiba percaya😂,23
kadek_jkiss,Dok itu banyak pasien yang sembuh koq g pernah diberitakan sembuh oleh apa karena apa? @dr.tirta,22
truelovestory03,Lebih baik hidup sehat cara Rasulullah sholat 5 waktu + sunnah hidup menurut syariat Islam yakin sama Allah SWT itu vaksin paling dahsyaaaaatt #AllahuQkbar,23
rzkynandaprtm98,Semenjak Menkes yg baru dr. Tirta jadi makin aktif ya bund🤔😂😂,18
ahmadaniq24,Katanya dulu gamau di vaksin pas awal2 muncul di podcast om Deddy? Sekarang kok gini? Wkwkkw katanya gak mungkin vaksin ditemukan cepat lha wong minimal kata mu dulu paling enggak 10 tahun? Jadi yang bener yang mana pak dok? Wkwkwk kasih saya pencerahan jangan alasan. Saya jadi bingung. @dr.tirta,16
bagasfardinal,"Dok misalkan vaksin bukan bisnis kenapa kita di paksa buat divaksin,badan kita aset pribadi kita bukan punya pemerintah kita punya hak buat di vaksin atau tidak",19
shintamoeryara,Aku setuju kalo kita smua harus vaksin dok . Aku g setujunya malah kalo sebelum naik pesawat / kereta dll harus rapid test yg berlaku 2minggu . Kalo bisa sih sebelum naik pesawat harus vaksin dlu . Yg blm vaksin g boleh naik pesawat .,10
raju_warlis_rizki,"Banyak orang yang gak vaksin, tapi sehat sehat aja sampe sekarang.",17
rivaldoom,"Tapi dok, di podcast om deddy yang membahas tentang flu burung anda menolak vaksin dok. Jadi gimana dok?",0
itsmedendiiiii_,"Boleh nolak dong, itu hak kita mau divaksin atau tidak...",18
flatearthcommunity_,"Kalo gitu @dr.tirta divaksin pada gelombang pertama ini ok? Jgn pake placebo, pake vaksin sungguhan 🙏😁",12
