user,comment,like
viavallen,Verified,111
bagus_ardiansyah1210,Mohon maaf pak saya udah usul ndak ada respon tapi anehnya di desa saya rumah mewah bagus dapat bantuan tapi rumah saya di pelosok jelek ndak ada respon ndak ada bantuan sama sekali pak mohon bantuanya,100
pajarprmnaaa__,"First pak,, Semoga sekolah Tetap Daring, saya sangat senang",101
kirunchaa,Saya jualan suara🗣utk isi produk para UMKM.. Fee? seikhlasnya aja.. Sedikit bantu2🙂,104
mangkokku_id,Verified,0
nefrizaicha,Maaf pak aku kok ga pernah dapat bantuan ya pak..😢😢😢,61
nonoo_vallen,"Smga BPK Sht slallu & di Lindungi dari Orang"" yg jhat...💪💪",82
andriyansyahyusuf,Pak itu ambil data nya dari mana pak ? Untuk penerima bantuan nya ? :3,28
meegfollowers,Sehat selalu pak,0
asihmagdalena,Sehat selalu ya pak Jokowi🙏,49
hanumshoop,Tidak pernah ke bagi bantuan atw itu sembako pak syah mah 😢,27
donisaputra0424,Cara dapat nya gimana pak Jokowi.,25
ssalem_99,"Minta di tinjau ulang pak karena realisaai di desa ada yg kurang tepat sasaran. Rata rata keluarganya perangkat desa yg dapat, padahal ada yg jauh lebih miskin malah gak dapat",31
sudutsipil,"Pak de, sudah istrahat dulu. Jaga kesehatan !!",34
mamaxnaura,Pak...pelaut yg biasax kerja diluar negri banyak yg terkena dampak..krn mereka g ada yg bs berangkat pak...,24
randi_fadillah_akbar,Aamiin aamiin ya allah... Semoga niat baik bapak di balas oleh allah swt 🙏🙏,32
dimas_senno_12,"Pak tolong pol Espagaro di larang gabung ke tim repsol honda pak, bisa""kalau dia gabung karir dia berakhir di ujung 2021 pak",28
jeffreyadolfwannee,Tuhan Memberkati Pak Presiden @jokowi dan Indonesia 🙏🏻,49
shusy_bunga,Sukses terus pak! Tapi sayangnya banyak yg tidak tepat sasaran😌,25
ensojoban,"BANYAK YG BILANG,BANSOS CM BUAT ORG MISKIN (bukannya orang MISKIN memang udah harus di Pelihara Negara ya? kl gak salah kan sudah ada UU nya) ...lha trus yg terdampak KEBIJAKAN COVID ,yg kerjaannya STOP Apa gak berhak dapet?? udh ,jgn lg ada yg blg cari kerjaan lain lah,kerja nguli Lah ,jd pmulung Lah, blablabla..kl ngomong emank enakk..tp kenyataan tiap orang BEDA2 Cyukk,jangan di sama2in LOL ..! TMN2 SEPROFESI SAYA,MUSISI2 CAFE&freeLance BANYAK YG TIDAK BISA KERJA SAMPE SEKARANG BAHKAN GAK DAPAT BANTUAN&SOLUSI SM SKLI gr2 kebijakan PEMERINTAH DAERAH yg buat tempat kerja banyak yg tutup dan TERBATAS.. itu bansos 100 T lebih,buat seluruh rakyat INDONESIA aja cukup BANYAK ! Tolong lah PEMERINTAH BUAT TIM,DI TIAP DAERAH CEK SATU PERSATU SCARA LANGSUNG SIKON TIAP ORANG DAN KK DI LAPANGAN.biar tau kenyataannya..jgn lg pakai DATA2 RT/RW..jgn lg RAKYAT DI SURUH AJUKAN BANSOS yg birokrasinya RIBET dan lg blm tentu dApAt BANSOS nya..PEMERINTAH sudah BUAT KEBIJAKAN YG BERDAMPAK BURUK di masyarakat,YA PEMERINTAH HARUS TANGGUNG JAWAB DONK.. 🙏",10
infolamongan,Semoga tepat sasaran pakdee,19
yondra_lstyn,Follow back pak,15
kak_war_bastio,"Semoga saja tepat sasaran, dikami banyak yg tidak tepat mohon ditindak pa presiden",17
fiorentinaaacr,mau blg first ahHAHAHA,19
yanda_aliangga,Pak aku jomblo,18
_01_leo,Kapan sekolah bisa di mulai bosen belajar dari rumah !!,15
adeveraelysa90,"❤️❤️ setuju pa,,biar ga salah sasaran",18
teguhwildananugrah,"Siap pa , BCA , BNI , Danamon , BRI , Mandiri a/n Teguh Wildan Anugrah 😐😐😐",14
sonia_nvr,Aku nggak pernah dapet bantuan dari pemerintah sama sekali pak press😭😭🥺,11
fitriyah6737,💖,13
jakarta.stayhome,Sehat terus ya pakde @jokowi ❤️,14
nzulasyamsa,Pa jokowii sehatt selalu dann semoga pak jowoki beserta keluarga selalu senantiasa berada di bawah lindungan ALLAH SWT dan selalu di berikan kesehatan selalu ❤️,13
street_culture_csa,Untuk BLT ketenagakerjaan gimana pak??2021 lanjut??,13
fahmi_koyos,Pak eeeee mo kerjaan 🥺,9
asatahmad_acc,bapak @jokowi presiden panutanku..🙏🏻☺️,12
atikah1109,❤️❤️,11
tturnengsih,❤️,10
sinta.sari88,Kereeeeeenn pak.. 😍😍😍 yg biasa pd nackal.. Mamam tuh.. Awas2 aja yah.. Digebuk ntar.. 🤭🤭,14
akunp_rivacy,Percaya deh yg ngepost bukan pak presiden nya😂,10
ruddy_hw,Matur suwun pak jokowi 👍👏,10
paman__reza,👍,10
_annisafitrie,"Masalah nya ini ada pada aparat desa pak,, maaf soalnya di desa saya seperti itu ☺",3
_gtsypm,Kadang minder juga sama yang nerima bantuan pak.... kaye gak sesuai 😶,10
hayfa23__,"Tapi tetep di cegat depan pintu bank/kantor pos, piye pak :(",9
dewipus_89,Semangat terus pak ❤❤,10
wagalasehh9,"Klo bisa pak @jokowi next time presiden lgi, ngapain ganti' Mulu, yg skrng aja pemerintahanya Uda baik, presiden yg akan dtng ""blm tentu"" lbh baik dri skrng, mungkin ia sesuai UU ada aturan pergantian presiden, tp smuanya bisa terjadi slma kita yakin dan percaya, UU adalah buatan manusia, yg bisa merubah UU adalah manusia, kami bersma presiden Jokowi, smga Indonesia smkin makmur, angka kemiskinan smkin menurun, angka penganguran smkin kcil, @suararakyat.indo @dpr_ri @aryawedakarna #pemerintahbekerja",6
ngaranainganjas,paa reaction RI2020 paa di yutub,7
shazaelsheikh,💜,8
massbudiman_,"""BEBAN KELUARGA "" 😭😭",7
gedeletsgo,Apik micnya pak,2
