user,comment,like
football_skill07,💪💪,8
initumirah,Aamiin doa dari ananda tercinta👍,7
nindihr_,❤️❤️,7
azalia29413,"Semoga cpt sembuh ya mba kalina,,,azka do cute,,,",7
nathaliabora,😍💓,6
rosmawati44h87,❤️❤️❤️,5
tyulia_sari,❤️,3
anniedani06,Azka💜💜,4
anisha.rahayu.127,❤️❤️❤️👍👍👍👍,4
satriapartha,Get well soon mamanya azka🙏,3
snackjosss,Good boy......❤️❤️,3
santicastelo_barbarr,Nia ank selain ganteng sngat syg sm org tuanya❤️,3
yoestina88,Love azka...kasih ibu sepanjang masa nak...salut sama azka ❤️,3
jeremiah.fisher,Get well soon Madam @kalinaocktaranny 🙏,3
ruminah573,👩‍👦💓,3
firstmedia.internet,WiFi Unlimited & TV kabel 247rb 😎,734
reni_adja6326,😭😭,2
nicho.steven,👍,2
kurniaishyati,Cepat sembuh buat mamanya ya Azka 😘,2
fealova,❤️❤️❤️🔥🔥🔥,2
imron.s69,Get well soon,2
isantichandra,❤️ ❤️,2
tata.nick.902,❤️,2
michi.michiaudrey,Cepet pulih @kalinaocktaranny 😘,2
alviamaulidina21,Anak yang baik 😍😍😍 @azkacorbuzier,2
mdnasrya_,Gws for your mommy and stay health for u🙌,2
mikballlmikballl,Gua kira aldi cjr,2
purbamasnita,"Semoga mamanya Azka lekas sembuh,Azka anak baik,Tuhan berkatimu nak.",2
slsanjlaa,keep strong bb<3 @azkacorbuzier,2
dorra_selvyamaureen,get well soon mamanya @azkacorbuzier @kalinaocktaranny ..Smoga di angkat segala penyakitnya dan bs segera kumpul bersama keluarga🙏,2
dnm0798,The both of us ya sis inget,0
panelku_real,-10.000 Followers Cuma 70rb😍,0
helafita1504,💜💜💜,1
indommii,🥺❤️❤️❤️,1
bilqish_liam,Katanya Tipes kok covid??,1
geges25,Kok mirip?,1
r_srhy,😍😍,1
leny_1990,Gantengnya azkaa 😍,1
hali.mah5937,"Amin....semangat sembuh @kalinaocktaranny , azka juga sehat selalu...",1
gosallenny,Get well soon for ur mom Azka. JESUS will heal ur mom🙏🙏,1
maria_semuarasa,@azkacorbuzier ❤️❤️❤️ .. anak baiik 😍😍😘,1
nurbaiti.baiti,"Azka anak baik, kita juga doakan ya semoga Mama Azka cepat sembuh",1
liani607,Kalina beruntung bngt punya anak seperti azka.,1
ngebahasfilm,Yang lagi nyari rekomendasi film bisa liat di ig kita ya kakak,2
luciahandz,😍😍😇😇,0
anna_aira21,😭😭,0
hudayahamzah,😭😭😭😭,0
eenwerdiningtyas,😭😭😭😭😭,0
rinra_ra,😍,0
michelltisca,hi🙌,0
