user,comment,like
normanputro,Anjay kebayang gak lu pada kalo semua udah pake mobil listrik pas dicharger ditempat stasiun pengisian dayanya bakalan macet bgt karna ngisi dayanya butuhin waktu kurang lebih sejam kwkwk,3
rotomskuy,"Ricky Elson : ""ngopi dulu aahhh..""",17
guntursetyowicaksono,Emang biaya cuma 200rb tapi harga mobilnya bikin ngilu karena itu diperuntukkan untuk kalangan atas🤭🤭,6
ivanmuhammadrizaldy,"Mobil Tenaga surya aja sii,, pas musim kemarau kan tol cipali panasnya bukan main tuh wkwkwkwk🤣",6
zhi_had,Ntar klo uda listrik semua antri nya panjang..mending di terapkan macem nisan kick baru efisien,0
muhammadrechardian,Itu kalo kena hujan kalo konslet gmn ya?,2
jafarazam,"Salah satu yang harus disadari adalah saat itu solar Rp 380, dan sekarang 9500 (dexlite), anda bisa bayangkan ketika mobil listriknya sudah banyak, sampai 20% saja dari total kendaraan yg beroperasi di jalan, saya yakin listrik akan naik harganya dengan rasio yang sama 😊😊😊",5
m.farid_isham,"Giliran mau ngecharge di stasiun charge eh yg antri banyak , auto nginap dah di stasiun charge",7
rdrafiff,"Mending naik mobnas, ada gak siih ?",3
monroemitsubishi,Mobil nya harga berapa bedanya sama yg bensin hiks,0
mahaghoraswp,Nunggu Toyota buat mobil listrik,0
parkimtan4419,"ky g tau ja bisnis,tar laku..imbasny tarif listrikny yg naik.. rakyat yg g mmapu pusing😂",1
abdiredja,"Org zaman mobil listrik, giliran udh siap mau pergi pas keluar: astaga, gue lupa ngecas mobil.😂",4
anakmotor_tapiboong_v,"Kalo mobil biasa, meskipun ngabisin sekitar 1,1 jt. tapi ngisi nya nggak lama🗿",1
fitrian_hd,"Masalahnya listrik di Indonesia mayoritas masih batu bara, jadi pakai Mobil listrik bukannya ramah lingkungan malah lebih parah dari Mobil biasa 🗿",1
bdkurniawan87,Helloooo... Apa kabar proyek BBG yg digadang-gadang akan mengguncang dunia. Sdh bangun SPBBG tp skrg malah mangkrak.🤣🤣🤣🤣🤣 Apakah mobil listrik akan jd korban selanjutnya. Kita tunggu saja....😂,1
rizqiamrullah4,Isi pakai powerbank wkwk,0
likha.rk,"Makannya pakai Nissan Kicks e-POWER, mobil listrik tapi engga perlu charger dari luar 😍 lebih keren dari foto d atas 🤭",0
farhanjr7757,Kena banjir bisa jalan boss?,0
fandi_lesmana20,"Kalau harga BBM murah juga Gak sampai 1,1 jutaan Mungkin bisa saja 100Ribuan untuk jakarta bali Asalkan BBM murah ini pendapat saya",0
binabdulrohan,Irit lagi Xenia,1
ku_danielky,Iyasih 200k tp waktu tempuhnya bisa 3 hari 😂😂,1
awn.photoworks,Masalahnya beli mobilnya mahal gan 😂. Panther baru 200 jutaan. Ionic 600 jutaan. Ga setiap hari jg ke bali 😂.,1
ndru_msh86,Setelah semua pakai mobil listrik. Baru Tarif Listrik dinaikan😂0,2
adjiekusumow,"Ke bali naik mobil listrik cuma 200rb, emang dijalan nggak jajan?",2
jefrisianturi17,"Lahhh, lebih murah itu dibandingkan ke medan 😑",0
rafiarhaam,ngecas di rumah ngejeplak 😂,0
iasy_homesport,Enak naik pesawat cman 280rb 1 jam sampai njir..,0
lindarto_akhir,Sekali ngisi baterei di SPLU sampe 80% berapa biayanya?,0
fabianushl,Noted.. @hanywulan,0
sandaniels_,@veronicavee_ gilak murah bgt wkwk gmna beli mobil listrik aja?,0
eeekun19,"Murah tapi lama,,tiap abis batre harus cas,,klo abis d tengah hutan gmn itu 😂",0
agung_atripsy,hahaha tolnya aja sampe semarang 350 🤭🤭🤭,0
tyar.junior,Tol 1jtaan 😅,0
ariabaskara,Gak bayar toll? 🤔,0
banditdos90,Semoga harga mobil electric gak gila semua,0
bagongcok,"Sudah kuduga banyak yg bahas esemka, korelasinya apa ?",1
hakim_nst,Iritan esemka min 😂,1
akadc_1,"Kenapa dulu orang lokal mau ngembangin mobil listrik ga di dorong? Sekarang aja pada bilang ""pake mobil listrik hemat, dll"".. 👎👎👎",1
yudimoria,itu sampe bali nya brapa lama..bukan cuma uang yg di hitung pati waktu harus di hitung karna evisiensi itu ada pada jumlah uang yg dkeluarkan dn lamanya waktu,1
ahyarru,iya kalo rutenya lurus kek digambar mah 😂👍,1
illhhham,"Mending diperbanyak angkutan umum kek bus listrik pak, daripada nambah mobil lagi yg macet tetep macet",1
ariessetyaerviano,bayangin ambulan bawa pasien sakit parah eh ditengah jalan listriknya habis ....emang bisa ngecas mobil sekali colok langsung jalan,1
royke_oi,200 ribu. Buat nyebrang kapal aja kalau 2 orang 183.000 pak -_-,1
ifaldishiddiq,Plis dong ada atpm yang mau bikin mobil full listrik di bawah 400 juta 😄,1
awansz_,Yg mahal charge listriknya nanti pasti 😂,1
carl.contractor.indo,Harga mobil ny brp pak @erickthohir,1
aminuddin_aziz_,Selo elektrik kami menunggu mu,1
arif_kristant0,"Iya Pak Menteri mbilnya 200rbu lha Tolnya sekitar 1,7jt sama aja Bokir...proyek mbil listrik yg harusnya bisa dikembangkan sendiri mlh stop di tengah jalan. Programer wanita indonesia malah di contract Tesla.....harusnya kita sdh bisa buat mbil listrik sendiri. Again tarik ulur kepentingan!",1
feriek.zhou,Charge hp yg ukuran kurcaci aj bth sejam. Gmn charge mobil sgede gaban. Mesti tunggu teknologi berkembang mngkin 30-40tahun lagi mngkin baru bs dipake tu mobil listrik di negara maju. Klo di indo mngkin perlu 80tahun lg. Proyek bnyak mangkrak bnyak ditilep uangnya,1
