user,comment,like
callmewinn,Mirip aku 🙃,2
ommonaommo12,Heh ada semua diri ini wkwkwk😭,2
a.rushaimin,"Semuanya 😂 , tapu dengan curhat ke Allah, terasa plong, mengakui sesama manusia, apalagi tetangga malah tambah runyam.",2
lifeinbiz,Kirain bakalan beneran bahagia min kan fake it till you make it 🤣,2
nilam_park45,Lagi di fase ini gatau kenapa dn jujur bener2 gatau hrus gimana ceritanya ke siapa,2
amanudds,🙃,1
mgikayulia,Gue bgt,1
canzdu,astagaa,1
soetjiwoelandari2,Fix saya jago pura2 bahagia...,1
tantiagt,yagitu @dadebrajarochman,1
cantikadesra,@agungabdulaziz_,0
ukazza,"Cb baca ini syg, bagus @karimanalagi",0
sarahehe13,jago pura pura bahagia cheeeeeeck @emaan_uels wkwkwkkw,0
indrii_jawak,How about you sistur 😆 @adelia_simanjorang ? Aman? 😂,0
__igusss,@dwanama_,0
deaafad,@galuh_prasetya_,0
susuultr.aa,@namakuhilea,0
taukdehmales,@shafierafayn,0
bellandina_ik,"Aku banget tp klo mo perubahan jg susah karna sudah terlanjur begitu sejak lama, jdi sudah seperti kebiasaan 😣",1
safiranurmuch,🥺🥺🥺,1
punyapandangan,Best!,1
itawarianir,"Lah, ternyata.. 🙂",1
tarisa_632,Jago bgt aku yaaa😊,1
yeoldaeya_niam,We need to take a break. Escape from everything for a while. 😊,1
erafiani,☺,1
yowshitnoya,Okayy aku mau berusaha buat selalu mikir its okay to not be okay,1
salmaafara,Jago!!,1
dheawrdnd,@mhd.iksannn,1
pandaeyesuwu,"Ya gimana ya, menurutku itu merepotkan. Mungkin aku terlalu malas, atau aku tidak suka keributan.",1
aanisakrr,❤️❤️❤️❤️❤️,1
efrianinurul,@ricky.harianja,1
fathurrahman_hafiz,"Iya skrg mau ngomong aja serba salah, susah nyari org yg tepat",1
febyyhola18,@riswana_m,1
apriliyazahra3430,"Awalnya gw tuh gitu, kyknya baek baek aja. Kgk ada tuh problem dgn apapun, happy2 aja. Tapi akhirnya jadi bingung. Gw knp ya? Soalnya mood swing pke parah bgt. Suka boong about how I feel, dll. Pengen coba konsul deh. Tapi kgk tau konsul yg murah (gk paham). Soalnya udh merasa butuh bantuan konsul. Klo ada info blh yaww 😁 (ada kah yg baca, mau infonya ya, serius uwu)",1
hanter027,😢,0
utamihand,Hehe 🙂,0
thamhuifong,👍,0
chan_sakyakirti_jambi,Wah👍👍,0
namalianm,💯💯,0
dini_sarassati.dr,Semua di centang.😂,0
idawati_santoso,Terus solusinya apa ?,0
netty5326,Tepat !!😊😊,0
febri.adityaa,🤣,0
fiiinaas,💪🏻,0
pu.tr.i,suddenly i feel sad,0
ratihdwiw,Ish ish ish @henyy.99,0
dreamforlife.official,"Tdk pura pura, jd diri sendiri aja ya khan ❤️😍💪💪👏👏👍👍👍",0
nuanuh,🙃,0
exanataliia,Aku ini mahhhhh,0
ghost_san_uwu,"Ada masalah malah tidur, kalo masalah diambil pusing bakalan beneran pusing 🗿, memaafkan orang dapet pahala bruh-, gara2 rebahan mulu kalo gerak dikit bikin capek, senyum adalah sedekah 🗿✨",0
