user,comment,like
olsen1213,Makiiinnn makiiinnn,73
doktervanda,Verified,0
rizky_arisp,Selamat datang didunia tipu²,316
fludiro,"PSBB ora ngaruh dok, yakin. Jakarta sudah jadi bukti PSBB yg gagal menurut saya!.",337
wiarthajaya,Otw miskin gais,174
peracik.es.marimas,INI PSBB BISA DI PERPANJANG SAMPAI 2030 GAK.. NANGGUNG AMAT... PSSB SEKALIAN BAMBANG,166
bang_cuy11,Psbb ketat berkali2 ga ada faedahnya msh aja diulang2in. Bikin kebijakan ga usah nanggung. Lokdon sekalian,158
razzaqonly,Mangan opo keluargaku dok? Dipikir kuliahku ditanggung negoro opo😭,123
drdemetria,Gimana nasib hotel dan industri pariwisata dok?,79
noviaraani,"PSBB terooossss, sekolah makin gak di buka buka.. bikin kebijakan juga dong dispensasi untuk SPP sekolah yg tetep berjalan tanpa ada kebijakan 😭😭😭",70
agungnuer_19,"Jane ki nopo to indonesia, jan asu og",68
effolseg.co07,Sehat Selalu Ka🙏,0
azeng_indonesia,"PSBB bukan solusi, Seperti ini saja banyak pengusaha mikro yg rontok..... Kalau banyak pengusaha yg rontok bagaimana nasib karyawan²nya.... Sungguh tega kau Ohhhh..... COVID-19",45
mendra_ws,Trus udh siapin pangan?,36
noviarestp,Udah kelar liburannya,40
susilistiantiii,ASTAGHFIRULLAH KAKEHAN SENGEK,35
ayuagstna_s,wesss bohh Tempekkk 😑,27
i_p_sanjaya,"Hore libur 2tahun, menunggu tahun baruan 2022",28
bangipul.id,"Tak pikir tahun baru yo tambah apik, lah iki tambah njancuk i.",31
nurikurni_awan,Bukan LOCKDOWN 😁,27
_ardi.syah,"Pusing pusinglah psbb psbb ga ngaruh. Ekonomi ancur ancuran. Gw kira 2021 bakalan membaik, eh taunya masih sama saja. Masihsama saja. Masih gitu aja.",27
galang_permadhi,Bismillah semoga Covid 19 cepat berakhir dan tanpa ada virus baru lagi 😂,20
nelysansali,Lamaa2 empeet sendiri guwaah,17
ngurah.suta,Gunanya apa..?,15
bondik_dtaro,"Malah ancur perekonomian,khususny rakyat kecil ni",20
alfiandharmaw23,Ya Allah jangan sampai lock down ngga enak psbb aja dah susah dan ngga tega liat ekonomi orang kebawah,15
itsme.adelaide,Padahal mau ke kampus nyari bahan skripsian,15
marcellowalk,"pilkada dan kerumunan pertambura mereka yg gk bisa atur, rakyat atau pengusaha yang kena... bravooooo 👍🏻 @dr.tirta",17
adevelina,"Hotel tempat suamiku kerja udh mulai rame lg, gaji perlahan2 agak stabil spti dulu. ehh ada wacana bgni lg😢😢😢 kudu piye mas @arie_tom",19
haidar_izzul,Pie dok @dr.tirta udah tau ga efektif msih di lakukan juga ?,12
pandechrisna,Dokter terawan kemana?,10
adam_rafiyudin,Harusnya lockdown diawal bukan psbb kek gini cookk,9
rramdhani.id,trus temen² kami yang outsourcing di pabrik gimana? kaga makan?,13
cewek_idaman77,Heleh,13
fajr_hikmatullah18,lockdown 2020 jilid 2,10
paak_dhee,Sampai entah kapan.... Losssdooool,10
roirizkidarmawan,Waddaawww,10
wibisonogading,Ekonomi Melesu kembali,10
ariestokusuma,Semoga menurunkan angka kasus Covid19 nasional secara drastis,8
zammar_zamrud,Rebahan lagiiii🥳🥳🥳🥳,8
my_moring,Jadi sungkan mau Promo Moring nya😁,5
nnnandeee,psbb ampe kiamat yang ga ngaruh apa2,8
rizallcaca,Gmn harga saham di bursa efek 😝😂😂 @dr.tirta #cumatanya,4
aziz_baswedan,@dr.tirta dia kenapa baru muncul dengan bahasa PSBB? apa dia gak takut SAHAM ANJLOK??,2
ruth.mega,Ojolali bakdo th iki mei.. Berarti april wes poso.. Mosok iyo kelakon bakdo ora oleh mudik meneh? 😢,1
rendra_st.bawono,"Baru sekali pulang cuti selama pandemi.... Muncul lagi lockdown lockdown... Nggateli memang... Dulu sih sesumbar, bilang Indonesia sudah siap... Siap apaan... Siap karam....",15
bantul24jam,"Semoga sehat selalu, semoga bisa segera merdeka dr covid 😭",2
tejarsanjaya,"Kejutan dari inggris ""manu ngelengserin ipul """,7
mirza_6661,Dor,4
ikhwan.hqq,sekolah sekolah,4
