user,comment,like
ihsanilham29,Perlu brcrmin dan evaluasi diri dok. Tnya knpa ? Brti byk dokter juga yg TDK spndpt dgn kondisi skrg ini. Harusnya bukan ngajak debat atau diskusi Sling menghargai aja dok pendpt masing2. Beliau dokter senior mengeluarkan statment sprti itu pasti ada dasrnya,292
dhikasepta,lau kenapa mengusik orang yg berstatement dok? apa kita ga punya kebebasan buat berpendapat ya?,227
ciko.citra,"Dia bukan menentang,tp mangajak berfikir logis dan sesuai fakta di lapangan,bukan berdasarkan data yg ga jelas apalagi dgn narasi menakut nakuti . Sy sih sepaham sm dia, Sy percaya covid itu ada,tp mbok ya jgn di lebih lebihkan,org sbgian besar pengidap sembuh kok ,yg meninggal ya krn memang punya panyakit bawaan,dan itu Fakta di lapangan !",320
celanajogersweatpant,"Teman2 Mohon doanya, Dagangan aku laris manis.. yang mendoakan dengan doa yang sama juga.. Semoga Tahun Baru selalu dilancarkan rezekinya🙏 Aamiinnnnn🙏🙏",816
otoyxmrizki,"Dokter sepatu lucu ya, yang beda pendapat beda pemikiran sama dia kok selalu diserang",252
al_madani9,"Lawan baru, panggung baru ...",234
ryan.andriana,"Yaelah lu dok semenjak menkes ganti dagang covid nya kenceng bener, menkes kemarin ga ada duitnya ya.",215
nazirhabibie,Gaslah pasti menang dr Simon gue yakin,180
autocare.solutions,Kok jadi kagetan dg perbedaan pendapat ya🤔,106
luthfy7557,Podo dokter e kok ngecemes ae nang medsos....cuk risih suwe2 ndelok,107
katakaoskotakita,Smangat dokter Simon 👍👍👍👍 perlu ada yg teriak2 dr sudut pandang berbeda spy gak cmn 1 pihak aj yg teriak sok benar dan sok kemana2.,196
bayusjw_,"Sars covid 1, Vaksin e ndii dok? Kok moro2 seng 2 wes enek vaksin ee hahaha",24
ilhamulhikam13,"Pak Menkes yang sekarang lulusan fakultas kedokteran mana dok :v, gmn rakyat mau percaya kalo Menkes nya aja bukan dokter wkwkwk",77
lingga_dewanto,Hari gini masih takut covid.. diem di kamar ae. Dasar lemah,71
bang_cuy11,"Lu jg sejak dirangkul menkes baru,muja2 depkes. Dulu dicuekin ama pak terawan,lu serang2 terus🤭",253
