user,comment,like
baliagastore,"Dok mau tanya, ini corona kan virus, flu juga virus. Kalo nunggu corona selese kayanya ga bakal. Karna dari nenek saya hidup sampe meninggal masih ada aja tuh pilek.",66
khld05_,Corona itel kuda,53
rachmawanadi22,Influ Encer ... Salesss teroosss,43
ricorizkiyanto_,Hilang kan rapid tes 🔥. orak akurat msok sambel teri yo positip hasil e 🙊😅,35
nota_tlb,"Sangat Tidak Tepat....harusnya PSBB itu di laksanakan berdasarkan Pendapat seluruh survey Rakyat..jangan Semena mena Pemerintah Menyengsarakan Rakyat. Karna Pemerintah Setuju, belum Tentu Rakyat Setuju...",32
bang_cuy11,"Klo psbb niatnya ngendaliin virus,knapa konstruksi beroperasi full?mang virus pilih2 proyek?",25
about_andrelee,"Terus bangga gitu ya bahas kebenaran di TV? Emang bisa di TV bahas kebenaran yang benar2 benar? Semua orang juga tau, TV itu isinya kebusukan 🤣",27
heksasss,Tepat sekali. Efektif sekali. Rakyat banyak yang kelaparan. Pengangguran . Kontrol atas masyarakat bawah.,17
arispratamaaaaa,Semenjak menkes baru dilantik deket lagi ama pemerintah dok atau memang lagi masuk ke dalam sistem yang baru untuk mempelajarii?,14
azwinisme_,Ndk Malang ganok tiviwan 😂😂,8
mas.ronron,Enak yoo undangan teruussss...,4
jajanan_rehan,Kasih aja tiap hari pilkada ntar tuh virus ilang,6
ini.diazz,Dunia ini penuh konspirasi😢,8
_adityasyahputra,Psbb nanti saham anjlok ga ya? 😭,3
gugun_tur,YANG KATANYA MAU PASANG BADAN BUAT UMKM BALINYA JANGAN SAMPE GK DISUARAKAN..,13
abdulholik_,Kalau 1 dunia lockdown 14 hari buat hilangin corona gimana?,2
agung.krisna89,Pilkada solusinya dok..,3
azziz23,Bar pilkada trus psbb kwkwk,3
bimautama91,Drpd PSBB mending lockdown aja semua 14 hari ....abis itu selesai ...aktifitas normal lagi .😂😂,0
eons.id,"PSBB diperketat boleh aja asal jangan ada pembatasan jam malam aja, ga efektif dan lebih merugikan pedagang! Corona menyerang 24 jam jadi ga usah ada pemberlakuan jam malam orang dagang cuma sampe jam 7",3
adm13_usmnt,Apakah PSBB akan seketat Liga Inggris?,3
herga.wildan96,Jumlah pasien yang sudah negatif masih masuk hitungan kah? Serius nanya. 🤔,2
didikabi964,Makanya adakan pilkada lagi ..pada pergi tuh corona...😊,2
havefun896,T3pAtk@H pSBB d2pr3k3t#T?,3
khld05_,Kontol,5
aliibisrii26_,OTW DOK,2
diego766hi,Seketat celana yg udah gak dipake 5thn 😅😅,1
de.fauzy,Yang pake topi sok ganteng😂✌️,1
madryarp_,Kluyuran trus bikin liga gajalan,0
sutrigasskill,BRO @dr.tirta kalau memang psbb efektif kenapa ada yg selanjutnya. kalaupun tidak efektif kenapa harus di ulang lagi ?,4
dem.4868,Wes tau,1
indra_ambyar18,Corona apa DATA CORONA YG MNINGKAT😂,1
rachel_lase24,Udah mending lupain aja covid19,1
ferian_muhammad29,Mending tak pateni tv ku.nek enek berita markona,1
applie.id,tepat sih neng piye seng dodolan juga kan dok ??? nek ngomong gak tepat juga pie seng loro soyo uakeh yo bahaya . malah visitor manca dadi wedi . trus kudu pie emange ??/ nek aku sih yo di perketat karo bantuan e di perlancar nggo ngewak i sek ngisor ngisor .....,1
sftslimmingg,DICARI ORANG YANG BADAN NYA PENGEN LANGSING😍,1
inespramesthi_,Sak iki banget dok?,1
rendratisno7,😂😂😂😂😂,0
fadilc__,😴😴😴😴😴,0
easymoneyspender,Firts,0
abrahamkhoe,Tidak Tepat...🙏,0
efannafe,Seketat apa sih? Zzz 🙈🙈🙈🙈,0
giffarel_1204,Yg paling kanan jangan sampai lepas 😂,0
anfieldmart,MERAPATTTTTT,0
zacky_alikhsan,Itu foto yang paling kanan kok mirip fans liverpool ya?,0
johann22w,Okee,0
indreeh,Weh rambute lio dewe dok 🤣,0
adaidwan,Semongko,0
marimas_393,Lockdown?,0
johann22w,Okeeee,0
