user,comment,like
effolseg.co03,Semoga Dilancarkan Semuanya Ka❣️❣️,0
effolseg.co18,Semangat Selalu Bapak,51
alips.w_,Sebaiknya bapak jadi presiden,48
barbermanoncalljakarta,Komando🇮🇩,34
hilmar1409,Keren pak,33
dweva_alfatih,I love prabowo,26
realteguh,Salam Jumat Mubarak. Hari mulia dan penuh berkah.,0
elnenis,MasyaAllah Tabarakallah,0
sandimuharman,Komando🔥,8
arieftropong,Luar biasa pak menhan,9
bintangafgan,Sehat selalu bapak🥰,8
averushh,🔥,8
srikandi_pedia1,Jasafollowers permanen pak ❤️,189
fathur_rahmi,Macan itu telah jd kucing kampung,6
alyadwi.sa,gtg bgt😍😍😍,4
nnailyy,😍,7
ermp_,"Jd inget dlu waktu tanpa pengawasan ortu, bergkt ke TK sendiri naik sepeda lewat depan rumah komandan, lagi asik2nya ngayuh sepeda 🚲 lalala~~~ . Trus tiba2 d hadang bapak2. Taunya bapak ini ❤️ . Sehat terus ya bapak yg baik hati kecintaan ibu2 blok komando 🥰",3
nn.nthaa,"Tahun 1996 saya baru di lahirin pak hehe, sehat selalu bapak @prabowo ❤❤❤",6
haloimaaaaa,Sehat selalu pak❤️,6
raviahmds,kasep euy kapungkur pak,4
allma.rae,Kalau 1996 janwari febwari aku blm lahir ini pak🤭🤭,5
jaaenirmdn_,bapaa masih kyuuutii 🤣,5
shardhadhavi,❤️❤️❤️❤️❤️,5
kxyuniii_xx34,Permisi pak cuma mau ngasih tau kalau saya itu manusia trimakasih 🙏🙏,3
putrinandaika,Gantengg bgttt pakk,4
pirdanatasya08,😍😍😍😍😍😍,4
hero_culinary,Neh idola ku @michaeljonathansantoso88 @steven_chaan,0
binarashri,Guanteng e paak,3
nidakholida,Ganteng banget bapak,3
devina.hf,Our eyang😘 @anggitaindahp @karinachwdy,3
gmlidya_1,Halo pak❤️,3
audiolesmanaaa,Wah Bapak pernah ke Batujajar Jabar juga nih 😍,1
sepfinasp,❤,1
seliherliana,Pusdikpasus tempatku menjemput mantanku yang kabur lewat pagar 😂,2
erinadeiilaa,♥️♥️♥️♥️♥️♥️♥️,2
caesar_an.nahl,pas banget dimoment saya dilahirkan itu pak 💕,2
difkyarst,@prabowo Belum lahir saya pak 😂,2
sammyhommy,🔥terbaik,2
vericamaudy,Ganteng loh 😍,2
ridzwannibnu,"ngetawain apa, pak?",0
zoeeyoeli22,"Pak kata tmn ak @cen_uputiskandar kita kembar lho,,hidung kita sama 😍😍",0
ahmadthemaung23,"Main main ke cipatik pak, Deket da",0
elnenis,Deket rmh aku dong pak batujajar mahbehhe,0
anwarsanusi006,🔥🔥🔥🔥🔥🔥,0
rendifajarlesmana,@wulannurhayati23 kopassus,0
akangiman,@prabowo saya baru 5 tahun pak..saya asli batujajar..😁 tepatnya galanggang..😎😋,1
rindyprawiraalv,Kalo ke batujajar mampir pak kerumah 😆,1
siamiw,❤❤,1
wenyramdiastuti,Foto pas terjun dong pak,1
novampirr,❤️❤️❤️,1
