user,comment,like
nunugmd,Pejabat sama ga bro jenis vaksin yg diterima? 😂,90
deny.andreass,"Bantu hate comment di postingan aku dong kak davva biar aku down, soalnya aku terlalu bersemangat menjalani hidup🗿🤙",89
ntahh_12,Yg disutik beda wkwkwk,97
imro.atul.aziz,"Pak Dr. Tirta, kalo vaksinnya gagal gimana dong? Halal atau tidak?",17
sadeways,"Dok katanya disuntik di bagian titi*t ya, biar nambah 3 inchi. Berarti itu yg bakal disiarin live dok? Mohon pencerahannya.",419
lutfiagizal,Verified,0
iamfirdhan,Mantap dok kami butuh unboxing dan isi yg sama jgn ada perbedaan pokoke jooosss dok👏,487
effolseg.co01,Sehat Selalu Ka🖤,0
w.a.n.d.i.w,"Kepanikan adalah separuh penyakit, ketenangan adalah separuh obat, dan kesabaran adalah permulaan kesembuhan",0
rhythm.accursed,"Di zoom Jarum Dan Cairannya pas masuk ke tubuh nya ya Pak .. jgn Di alihkan Kameranya. hehe.. cuma pengen liat aja gmn sih di suntik tuh, soalnya saya blm pernah 😂 klo waktu kecil saya udh lupa dan g bsa liat karena merem 😑",50
maulanaidam_,SETELAH ITU LIVE ABIS DIVAKSIN MAU LIAT BAGAIMANA REAKSI SETELAH DIVAKSIN DOK,28
dakota_coffeebean,Moga2 dapat Colosal Titan atau Jaw Titan . . .wkwkkwkw . . Semangat dok semoga lancar,26
faarhanmuhammad,Apa benar menolak memakai vaksin denda 5jt?,13
xyzvoldemort,"Dr tirta for warhammer titan, kasih tau eren dok suruh pulang",5
krnrt_,"dok jare vaksin sinovac marakke nggawe gede kon**l e, tenan ra dok ? nek hoo mbok aku melu ben dadi luwih gedi nggonku",9
wahyuaji_p98,Dokk suntik buat armored titan sisain yaaa,8
zidanealhalita,"Unboxing vaksinnya dok, jabarkan secara eksplisit kandungan yg ada pada vaksinnya biar pada percaya. Kalo bisa, unboxing juga media bantu biar ga takut jarum suntik dok🤣",5
pasifik.samudraa,semoga beast titan dok 👀,6
teebaik123,Dapat titan apa dok,4
hadiprassetyo,semangat levi,2
virzy_guns,"Dok gw ada riwayat alergi berat pas divaksin, boleh nolak ga kalo dpt sms wajib vaksin?",2
microntime,🔥🔥🔥🔥🔥 mantep pean,3
danieldeddz,Dok MU siap geser liverpool dri pucuk 😂😂😂,3
setyomhd,Beneran brani gak dok disuntik sinovac? Katanya bisa memperbesar 😂😂,0
jeff_374,Yak gacha buat dapet titan dimulai,2
sekolah_trainer,Sehat selalu buat dr tirta dan semua warga dunia🙌,2
ani_sumarni2,"Keren dokter, smoga gda efek sampingnya vaksinnya",2
efa_fatihah,Dok apa benar yg sdh terkena covid tdk harus vaksin? Kalau sdh ada yg gratis ini apa akan ada yg berbayar? Di di Indonesia kan harga selalu mempengaruhi kualitas dok.....,2
indrawan_hendy,@johnsenanggradinata wani!!!,0
saaaaarrrrrrrrrr,Kapan dok jadinya livenya? @dr.tirta,0
adammaditya,Lha nek wes di beli banyak terus tiba tiba gak halal gimana dok 🤣,0
hilmanyep,"untuk orang punya hipertensi, diabetes... pakah boleh di vaksin dok?? @dr.tirta",0
ellaalrasyid,"Kalau baca dr media, pemerintah belinya gak cuma sinovac tapi ada yang lainnya. Trus vaksin yang selain sinovac itu buat apa atau buat siapa dok @dr.tirta, apa nanti semua sinovac dulu baru abis itu vaksin yang lain atau gimana",0
lugasravias,rakyat biasa kayak aku ko gadapet sms buat terima vaksin ya dok,0
kori.lovita.dewi,👍,1
rooster.secondhand,👍👍👍👍,1
ivan__oktavian__,GADS🔥🔥🔥,1
xraflyvv.frl,😎,1
prasst88,mantap dok🔥,1
spotless_shoes_padang,👏,1
bitkagallery,in cipeng we trust 🙌🏻,1
ranggaptraaa_,semangat dok🔥,1
marinaalatas,🙏🏼,1
fahrizal_amir,Mugo2 sehat berkah terus bro,1
optikbeningtulungagung,semga selalu dlm lindungan Allah SWT mas,1
idofiandika,Selamaat eeeaaaa @chiksssnya,1
salekoumpeng,"Korona korona korona, sampe besok ya korona terus wkwkwkwk",1
wahyuputra.999,Mulai hawatir kek Liverpul,1
legi.syam,👍,0
putri.gie20,❤️💜💛🖤💚✨,0
