user,comment,like
argoanggrek05_,Kita kan g tau masa depan Masi ada meme atau tinggal kenangan🗿,9
arsa.perdana,Tydack semudah itu fernando🗿,7
polosanmeme.in,🤪😚🥺😱🙄,5
cry_cat01,Mana ada yg ngerti meme berkelas seperti Herp yg ngerti cuma angkatan 2014 dan 2015,3
shopgame.yukino,Gw ktika liat meme ni akun :,0
moses64676,Hoak,1
lip_khalip,G bisa merasakan betapa vibes ny mreka tu,2
hai_saya_alif_primandeztyan,"Masok pak eko,bowo alpenlibe,budi setiawan",0
_pratama.glo,justru malah lebih mending yg dulu ketimbang skrng pada cringe,0
gabrielp_marbun,Angkatan 2016 hadir,1
d.san_putra,Vime Vime Vime,1
luddy.af,G(old),1
danar_aqiila,Me: (g)old,1
albanimuhammadhakim,Kalian nggak bakal tau nanti di masa depan udah nggak ada lagi yg namanya meme🗿,1
addinluma,"Me, i think",0
cyberindo.wibu,Woles bro,0
din.amv,But g(old),0
thenewbi3,Sadar diri,0
walid_asman,Tergantung jaman nya,0
marshallnfp,Ambilin Bapak Obat mata,0
zhealty11,gw,0
musreceh,Hadir,1
_.noufal.ftrk,:vosss,0
lingga_yafed09,Golok bro,0
mano_no123,"Ga juga sih, malahan pada bagus an yg old menurut gw",0
ranggaseptyan_,🙌,0
yynxgg,Vime andalaku 😅,0
venomkunz_,Nyimak,0
random.gurl15,Gua mah apa aja ngakak 😂😂😂,0
rizqi.aidar,Me vime vime,0
raufan76,Sini kaum cringe sumpah🗿,0
https.among.us.idn_,Herp😭,0
gung_63,bagi gw masih lucu sedikit,0
_eastavia_,Ita nich,0
rifatdndra,Kyk tekstur eek ayam,0
waw4n03,Me when i saw upin and ipin meme:,0
gen0rm,BANG ROTI 2000AN HARGANYA BERAPA YA? VIME VIME VIMEEEEEE,0
xanz_passionete,"Emang bener gayn udah garing,kalo dulu mah masih lucu",0
muaza.id,Hadir vroh,1
nshajaa_,Gw 2018 - 19,0
tcl_1814,Dead meme,0
kuda_juan,Vime vime vimeee,0
ilhaehwe_,Vime vimee vimeeee,0
m0zav.uwoe,Nih...meme lama @vime_id,0
akunmasakecil,"Pengalihan isu, tetap kawal 8-2",0
elfath_afra_rizquloh,Firt,0
onchom._,Meme lord2an still da best,0
hanipjanuar,Garing kriuk kress,0
black_noirre,belum pernah ngerasain golok?,0
gofaira_ravee,Gw hadir,0
