user,comment,like
silent_reader79,Grabtoko iklannya (di tv)aneh.. Saya gak ngerti apa maksudnya.,5
feiidimhs,"Yang komen masih pada buta rata2 ya, kaya ga pernah denger kasus Sue",8
nadhilazya,Klo dari kelasnya Grab dan grab toko bisa jadi beda jdi memungkinkan untuk di daftarkan tpi apa Grab itu juga termasuk kategori merek terkenal?,4
ririntdb,"Pernah baca, grab- toko udah cek AHU .. mereka boleh pake nama Grab kok",0
joe_jatmiko,Buat informasi : kasus kemiripan nama merek AQUA dan AQUALIVA. Mahkamah Agung dalam putusannya (perkara No. 014 K/N/HaKI/2003) menyatakan bahwa pembuat merek Aqualiva mempunyai iktikad tidak baik dengan mendompleng ketenaran nama Aqua.,3
ichairiniyah,Bukannya tiap brand ada HKI (Hak Kekayaan Intelektual) . brarti kalo si grabtoko bisa buat nama brand nya brarti grab belum daftarin nama brand nya ke HKI dong? karna kalo salah satu nama brand udah daftar brand yg satu nya bakal di blacklist atau ganti satu huruf misal Grab jadi Crab. dan kalopun kejadian begini bisa ada payung hukumnya buat ngegugat,3
dhika_tjokrowirono06,Iklannya ngeselin..,2
strikepanji,"Sama aja kayak kasus ""Strong"" antara Orang Tua n Unilever",2
zul.syah95,"Padahal dh di jelasin sih, mreka melaporkan tujuan nya apa, bkn karna sengketa mrek produk, konsumen aja bnyak mengira grabtoko punya Grab, di tambah yg di lakukan grabtoko melakukan penipuan,reputasi yg rusak kira kira siapa ? Mknya ada jalur mediasi dan negosiasi juga biar publik tau",2
ahmad_julasman,"itu kesengajaan namanya ingin numpang populer, nama lain kan banyak, CrabToko, GranulToko, GarasiToko, GayToko 😂 tinggal pilih",2
raffbar1,Logonya gak sesuai kaidah desain. Dan general logonya,0
riza.pasha,Ya beda grab itu kata kerja ga bisa lah ga berlaku di Hukum Indonesia.,0
akbrrfaisal,"Kalo saya pake nama , yang sudah dipakai orang sebelumnya apakah saya bisa digugat ga ya jika nama itu belum didaftarkan legalitasnya?",0
jelajahsumatera,Kasus GrabToko sebenarnya tidak hanya merugikan konsumen namun juga para pebisnis yang baru mau mulai. Orang2 akan lebih berhati-hati dalam memilih tempat berbelanja dan semakin sulit mendapatkan pelanggan 😅,1
azami_dinar,"Kirain grabtoko salah 1 program grab yg baru, ternyata beda brand ya",1
sahasika.ff,@gadgetapa,1
illgoodx,Oreo dan Goriorio tersenyum,0
trisna.afandi,"Gak tau min, saya pemuda tersesat.",0
rrq.rafuri_,saya punya smartphone,0
indreeh,Nah aku kira pun under grab indonesia 😅,0
syamilkarim1,Gw cari grabtoko.com gak ketemu linknya :v,0
dizavahleri,😂,0
systemoffline_,Iklannya aja dah ngawur 🤣,0
messya11_maryam17,Lah gw kira grab toko itu dri grab,0
rama.alansyah_,Gw kira grabtoko bagian dari grab..pantesan di iklan gak ada logo grabnya,0
mocluthfi,"Kata "" Grab"" mau dipatenkan sama grabOjol biar gak dipake brand org lain? 🙄 Wow bayar berapa tuhhh",0
baehaqidarussalam,"Gw kira punya Grab ahahaha, iklanny gak jelas lagih",0
harris.hariadi,"Pernah liat ad nya trus kepancing buka, sy pikir grab punya eh ternyata 😂😂😂",0
reskiezone,kirain grab toko layanan baru dari grab ojek onlen,0
tawfiiq_h,Lah w kira itu beneran grab yg mau nyaingin gojek yg katanya mau gabung sama tokopedia,0
juliparizal27,Baku hantam,0
rhesaadriansyah,Pantesan.. Koq Grab warnanya kuning... 😅😅😅,0
k_fajararafah,Haha seru nih,0
arumliyani,"Baru denger dan baru tau, makasih infonya min😁",0
baronbunny_lv2,iklan nya edgy😂,0
azami_dinar,Iklan ngajarin jelek gt kok bs lolos masuk tv ya,0
luckyabip_pika,"Sebenernya (subyektif, pendapat saya pribadi aja) semua simpel kalau udah baca UU HKI.",0
aim_achmadz,Ini kasusnya kayak Alimama penipuan yg bawa bawa Alibaba,0
zlkaryusuff_,Mungkin dia kerjasama sama Maxim 🗿,0
gilang.dirgantara,"Untuk cara berdamainya alihkankan saja merek grabtoko tsb menjadi punya grab, karna kalo di UU merek tsb yang mengaturnya pengalihan hak merek atau bisa juga grabtoko minta di hapuskan untuk mereknya.😁 sekian terima kasih",0
miebasobray,lihat aja hasilnya di pengadilan,0
itsrealhd,Dan anehnya barang2 dijual lebih murah sampe 50% kayak Iphone,0
hasan_webeku,Ohhh..,0
pahitahr,Ooh kirain ini bagian dr grab ojol,0
ryandikisetiawan,Jd kalau kalian ngomong bhs inggris jgn sekali kali pake kata grab deh ntr di tuntut,0
sigitnawainruk,Kata grab kan berasal dari bahasa inggris...bukan suatu kata yg di ciptakan oleh seseorang yg emang khusus utk dijadikan suatu merk tertentu...design logonya juga ngg ada mirip2nya. Jadi kalo digugatpun ya susah utk bisa menang 👏👏👏,0
adhie09des,T,0
musthop_al,Njirr baca dulu ngab baru komen komen.,0
sulistyarinirahayu,"Eh bener, selama ini gue pikir grab toko itu tuh keluaran dari grab Indonesia. Oalah ternyata beda toh. Semoga cepat terselesaikan ya masalahnya",0
christian.aw_,memanggil anak hukum @ray.harris,0
